INFO 2025-01-10 10:05:30,497 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:06:16,474 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:07:58,189 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:09:14,945 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:17:40,386 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:19:12,848 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:22:05,430 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:25:50,965 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:28:24,484 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:30:17,774 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:30:58,768 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:37:46,166 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:37:46,253 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:39:06,611 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:39:46,577 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:44:26,453 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 10:56:14,845 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
ERROR 2025-01-10 11:03:24,079 NE_RS_UNBLDRE: Unable to load application resource file /resources/fonts/fontawesome-webfont.woff2 api\debug\debug.cpp:20 StXh@STXHNEC
ERROR 2025-01-10 11:03:24,348 NE_RS_UNBLDRE: Unable to load application resource file /resources/fonts/fontawesome-webfont.woff api\debug\debug.cpp:20 StXh@STXHNEC
ERROR 2025-01-10 11:03:24,416 NE_RS_UNBLDRE: Unable to load application resource file /resources/fonts/fontawesome-webfont.ttf api\debug\debug.cpp:20 StXh@STXHNEC
INFO 2025-01-10 11:20:12,683 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 11:22:44,440 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 11:22:56,605 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 11:30:01,042 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 11:30:16,238 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 11:31:57,438 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 11:31:57,506 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 11:34:48,399 Reloading the application... api\debug\debug.cpp:17 StXh@STXHNEC
INFO 2025-01-10 12:23:01,933 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 StXh@STXHNEC
